TIME,SOURCE,DESTINATION,RATE_MBPS,RTT_MS,JITTER_MS,CWND,RTX_OUT,LOST_OUT,RTX_TOT
0.000000,10.0.0.1:56084,10.0.0.2:5000,0,296,74.030,10,0,0,0
0.160072,10.0.0.1:56084,10.0.0.2:5000,1,277,73.832,10,0,0,0
0.161702,10.0.0.1:56084,10.0.0.2:5000,1,263,69.913,11,0,0,0
0.161873,10.0.0.1:56084,10.0.0.2:5000,1,248,67.108,13,0,0,0
0.174855,10.0.0.1:56084,10.0.0.2:5000,1,248,67.108,13,0,0,0
0.189979,10.0.0.1:56084,10.0.0.2:5000,934,241,57.692,14,0,0,0
0.193934,10.0.0.1:56084,10.0.0.2:5000,934,235,49.208,15,0,0,0
0.194905,10.0.0.1:56084,10.0.0.2:5000,1307,230,41.990,16,0,0,0
0.198135,10.0.0.1:56084,10.0.0.2:5000,9,224,36.806,17,0,0,0
0.198350,10.0.0.1:56084,10.0.0.2:5000,6,219,32.922,18,0,0,0
0.203303,10.0.0.1:56084,10.0.0.2:5000,4,214,29.821,19,0,0,0
0.303760,10.0.0.1:56084,10.0.0.2:5000,0,205,29.995,20,0,0,0
0.322992,10.0.0.1:56084,10.0.0.2:5000,0,200,28.042,21,0,0,0
0.323156,10.0.0.1:56084,10.0.0.2:5000,0,195,25.864,22,0,0,0
0.323176,10.0.0.1:56084,10.0.0.2:5000,0,190,24.224,23,0,0,0
0.323183,10.0.0.1:56084,10.0.0.2:5000,0,186,22.389,24,0,0,0
0.323617,10.0.0.1:56084,10.0.0.2:5000,0,181,21.041,25,0,0,0
0.323642,10.0.0.1:56084,10.0.0.2:5000,1,178,19.495,26,0,0,0
0.349184,10.0.0.1:56084,10.0.0.2:5000,0,175,17.006,27,0,0,0
0.349867,10.0.0.1:56084,10.0.0.2:5000,0,173,14.756,28,0,0,0
0.349992,10.0.0.1:56084,10.0.0.2:5000,0,171,13.292,29,0,0,0
0.354835,10.0.0.1:56084,10.0.0.2:5000,0,170,11.311,30,0,0,0
0.355060,10.0.0.1:56084,10.0.0.2:5000,0,168,10.158,31,0,0,0
0.389884,10.0.0.1:56084,10.0.0.2:5000,0,171,10.504,32,0,0,0
0.391719,10.0.0.1:56084,10.0.0.2:5000,0,173,10.017,33,0,0,0
0.393330,10.0.0.1:56084,10.0.0.2:5000,0,175,9.587,34,0,0,0
0.395354,10.0.0.1:56084,10.0.0.2:5000,1,177,8.774,35,0,0,0
0.396286,10.0.0.1:56084,10.0.0.2:5000,1,178,8.083,36,0,0,0
0.396324,10.0.0.1:56084,10.0.0.2:5000,1,179,6.923,37,0,0,0
0.397288,10.0.0.1:56084,10.0.0.2:5000,1,180,6.066,38,0,0,0
0.467378,10.0.0.1:56084,10.0.0.2:5000,1,178,6.141,40,0,0,0
0.498215,10.0.0.1:56084,10.0.0.2:5000,1,177,5.007,42,0,0,0
0.499203,10.0.0.1:56084,10.0.0.2:5000,1,176,4.931,43,0,0,0
0.501816,10.0.0.1:56084,10.0.0.2:5000,1,176,4.401,44,0,0,0
0.501863,10.0.0.1:56084,10.0.0.2:5000,1,174,4.410,45,0,0,0
0.501970,10.0.0.1:56084,10.0.0.2:5000,1,173,4.322,46,0,0,0
0.501981,10.0.0.1:56084,10.0.0.2:5000,1,172,4.357,47,0,0,0
